SDB|CIS|ACTICTL |CIS ACCT SEQ DRIVER CONTROL CARDS - INPUT         |INPUT |DISK   |QSAM|FIXED   |00080|ACTICTL |FB |00000|N
SDB|CIS|ACTOCTL |CIS ACCT SEQ DRIVER CONTROL CARDS - OUTPUT        |OUTPUT|DISK   |QSAM|FIXED   |00080|ACTOCTL |FB |00000|N
SDB|CIS|ADFICTL |CIS ADF SEQ DRIVER CONTROL CARDS - INPUT          |INPUT |DISK   |QSAM|FIXED   |00080|ADFICTL |FB |00000|N
SDB|CIS|ADFOCTL |CIS ADF SEQ DRIVER CONTROL CARDS - OUTPUT         |OUTPUT|DISK   |QSAM|FIXED   |00080|ADFOCTL |FB |00000|N
SDB|CIS|AIFIN   |AIF DUMP INPUT FILE                               |INPUT |DISK   |QSAM|VARIABLE|13026|AIFIN   |   |00000|N
SDB|CIS|AIFOUT  |AIF DUMP OUTPUT FILE                              |OUTPUT|DISK   |QSAM|VARIABLE|13026|AIFOUT  |   |00000|N
SDB|IDS|AMFDUMP |IDS AMF CONVERSION INPUT FILE                     |INPUT |DISK   |QSAM|VARIABLE|16381|AMFDUMP |VB |00000|N
SDB|TDA|AMFRSTR |IDS AMF CONVERSION OUTPUT FILE                    |OUTPUT|DISK   |QSAM|VARIABLE|16381|AMFRSTR |VB |00000|N
SDB|UMB|AMFRSTS   |RESOLVE AMPERSAND USING 80 BYTE CARD              |INPUT |DISK   |QSAM|FIXED   |00080|AMFRSTS   |   |00000|N
SDB|UMB|AMPOUT  |WRITE OUT AMPERSAND RESOLVED SOURCE CARD          |OUTPUT|READER |QSAM|FIXED   |00080|AMPOUT  |   |00000|N
SDB|UMB|APS9909 |TEST APS                                          |INPUT |DISK   |BSAM|FIXED   |00044|APSTEST |FB |00000|N
SDB|IDS|ATOINVS1|ATO INVESTMENT INCOME MAG TAPE                    |OUTPUT|TAPE   |QSAM|VARIABLE|00389|ATOINVS1|VB |32760| 
SDB|CIS|ATOTFNRO|ATO INVALID TFN MAG TAPE                          |OUTPUT|TAPE   |QSAM|VARIABLE|00261|ATOTFNRO|VB |32760| 
SDB|CIS|A64ADFO |CIS DUMP/RESTORE ADF OUTPUT FILE                  |OUTPUT|DISK   |QSAM|VARIABLE|13026|A64ADFO |   |00000| 
SDB|CIS|A64AD2O |CIS DUMP/RESTORE ADF DB2 OUTPUT FILE              |OUTPUT|DISK   |QSAM|VARIABLE|13026|A64AD2O |   |00000| 
SDB|CIS|A64AIFO |CIS DUMP/RESTORE AIF OUTPUT FILE                  |OUTPUT|DISK   |QSAM|VARIABLE|13026|A64AIFO |   |00000| 
